Id_Compra;Fecha;Id_Cliente;Id_Vehiculo;Costo Vehículo;IGV;id_Vendedor
9565;2015-04-06;616;167;18199.8904;0.18;11
868;2015-04-06;758;139;17052.093;0.18;3
17409;2015-04-06;51;20;17542.8297;0.18;12
7839;2015-03-23;999;49;17269.32;0.18;3
9968;2015-03-23;83;7;17720.0447;0.18;3
8593;2015-03-23;833;140;17251.5879;0.18;11
14835;2015-03-23;378;64;17115.1125;0.18;5
16292;2015-03-08;1136;41;17558.8369;0.18;6
16347;2015-03-08;343;15;17195.1571;0.18;5
9290;2015-03-08;681;161;16580.2274;0.18;10
8395;2015-03-08;236;155;17907.6649;0.18;3
99;2015-02-04;539;173;17446.5585;0.18;4
10594;2015-02-04;466;17;18067.7118;0.18;6
10516;2015-02-04;959;72;17714.4702;0.18;2
9467;2015-02-01;1092;138;17348.4811;0.18;2
15138;2015-02-01;64;105;18157.1783;0.18;6
12291;2015-02-01;354;115;18308.6794;0.18;3
1609;2015-02-01;1043;91;18290.6647;0.18;10
16061;2015-01-13;1164;77;17265.6593;0.18;6
8452;2015-01-13;772;164;16713.9247;0.18;10
18773;2015-01-13;6;21;17975.7649;0.18;2
9988;2015-01-13;540;62;17052.0326;0.18;10
12674;2017-04-16;833;96;17142.037;0.18;4
7387;2017-04-15;816;151;17111.3824;0.18;1
17223;2017-04-14;893;4;17688.2122;0.18;7
12899;2017-04-13;536;20;17542.8297;0.18;3
740;2017-01-29;839;79;17682.6483;0.18;6
4568;2017-01-29;112;127;17831.8761;0.18;12
17467;2017-01-29;954;106;17558.5944;0.18;6
17391;2017-01-29;796;106;17558.5944;0.18;12
6627;2017-01-29;654;50;16277.7973;0.18;1
9017;2017-01-29;285;20;17542.8297;0.18;11
9176;2017-01-29;1073;117;16779.5022;0.18;10
5982;2016-12-11;1027;19;16960.2;0.18;3
1522;2016-12-11;670;121;17060.5781;0.18;9
11330;2016-12-11;1172;20;17542.8297;0.18;9
16567;2016-12-11;298;69;17785.2776;0.18;9
16789;2016-12-03;907;39;17190.856;0.18;7
12690;2016-12-03;1138;119;17266.89;0.18;9
3952;2016-12-03;809;177;16593.255;0.18;7
14396;2016-12-03;181;113;17948.6684;0.18;1
11843;2016-11-30;805;174;17365.9725;0.18;9
8122;2016-11-30;922;179;17459.2253;0.18;2
14220;2016-11-30;92;105;18157.1783;0.18;6
4438;2016-11-30;783;32;17718.1692;0.18;10
13239;2016-10-29;565;18;17472.3209;0.18;8
2648;2016-10-29;533;152;16594.1316;0.18;1
4956;2016-10-29;536;4;17688.2122;0.18;1
13060;2016-10-07;499;179;17459.2253;0.18;1
5177;2016-10-07;1160;87;17910.5681;0.18;7
5160;2016-10-07;878;171;16709.9392;0.18;5
2911;2016-10-07;597;103;17950.1111;0.18;3
3205;2016-09-18;45;98;17906.5446;0.18;11
14282;2016-09-18;162;172;17640.3286;0.18;12
164;2016-09-18;779;129;17768.6268;0.18;12
13947;2016-09-18;497;60;17267.65;0.18;3
19919;2016-07-08;654;112;17400.1259;0.18;1
7410;2016-07-08;544;122;16910.643;0.18;5
10644;2016-07-08;698;140;17251.5879;0.18;8
5928;2016-07-08;732;125;17255.4857;0.18;1
7252;2016-06-17;205;118;17936.6451;0.18;5
5375;2016-06-17;592;70;17297.2324;0.18;11
15214;2016-06-17;1054;97;17455.3364;0.18;5
6275;2016-06-17;987;42;17564.1448;0.18;10
8138;2016-05-24;428;112;17400.1259;0.18;5
11681;2016-05-24;582;108;18215.7071;0.18;12
17502;2016-05-24;792;76;17616.371;0.18;9
1222;2016-05-24;8;170;17394.4193;0.18;3
19613;2016-04-07;479;20;17542.8297;0.18;9
6862;2016-04-07;948;79;17682.6483;0.18;12
4308;2016-04-07;1152;124;17481.4583;0.18;11
18643;2016-04-07;812;80;17378.0475;0.18;9
13779;2016-03-22;214;17;18067.7118;0.18;11
18627;2016-03-22;860;33;17013.6929;0.18;11
931;2016-03-22;848;131;16901.265;0.18;6
14094;2016-03-22;1107;24;17133.0786;0.18;3
15660;2016-03-21;961;15;17195.1571;0.18;5
12034;2016-03-21;232;140;17251.5879;0.18;5
5131;2016-03-21;28;66;18315.015;0.18;3
10514;2016-03-21;1023;92;17448.8832;0.18;6
5598;2016-03-10;753;121;17060.5781;0.18;4
9022;2016-03-10;622;98;17906.5446;0.18;2
10751;2016-03-10;596;129;17768.6268;0.18;6
2649;2016-03-10;410;145;17365.5349;0.18;6
17682;2016-03-10;955;44;17856.9977;0.18;3
9071;2016-03-10;600;159;17331.0141;0.18;9
11017;2016-03-10;1127;59;18055.7447;0.18;10
9709;2016-03-10;572;13;17250.3325;0.18;12
9043;2016-03-09;96;120;17585.6071;0.18;11
12513;2016-03-09;1113;42;17564.1448;0.18;3
18789;2016-03-09;1048;109;17631.1562;0.18;9
9384;2016-03-09;828;71;17776.2143;0.18;3
10280;2016-02-03;39;168;17486.2304;0.18;9
19405;2016-02-03;335;93;16751.329;0.18;7
14732;2016-02-03;207;141;18733.9543;0.18;11
15130;2016-02-03;67;161;16580.2274;0.18;9
18640;2015-12-21;945;90;17323.1615;0.18;11
8850;2015-12-21;956;108;18215.7071;0.18;5
5081;2015-12-21;574;110;17185.4921;0.18;11
3010;2015-12-21;691;137;17781.9037;0.18;5
8581;2015-12-09;336;61;17536.8308;0.18;12
14661;2015-12-09;222;99;17414.9711;0.18;11
3455;2015-12-09;95;48;17018.6602;0.18;10
18081;2015-12-09;995;76;17616.371;0.18;5
8889;2015-11-29;881;6;17052.4917;0.18;5
18547;2015-11-29;872;53;16746.6324;0.18;9
15879;2015-11-29;164;79;17682.6483;0.18;10
16651;2015-11-29;698;67;17674.0933;0.18;10
14120;2015-11-15;88;15;17195.1571;0.18;11
6459;2015-11-15;431;8;18283.6954;0.18;12
5459;2015-11-15;855;139;17052.093;0.18;10
7692;2015-11-15;756;160;16786.0843;0.18;4
4396;2015-11-04;365;158;17344.6449;0.18;1
12727;2015-11-04;1106;22;17918.5433;0.18;12
1298;2015-11-04;760;21;17975.7649;0.18;12
703;2015-11-04;317;178;17336.9475;0.18;2
10142;2015-10-24;1011;21;17975.7649;0.18;11
17773;2015-10-24;936;53;16746.6324;0.18;7
7340;2015-10-24;446;64;17115.1125;0.18;10
14453;2015-09-23;1113;76;17616.371;0.18;7
8840;2015-09-23;344;108;18215.7071;0.18;2
2307;2015-09-23;917;103;17950.1111;0.18;3
15237;2015-09-23;342;134;17904.3146;0.18;11
12777;2015-08-09;200;71;17776.2143;0.18;6
19033;2015-08-09;1161;172;17640.3286;0.18;7
14945;2015-08-09;329;16;17717.8557;0.18;8
18225;2015-08-09;812;41;17558.8369;0.18;9
15463;2015-07-27;264;100;18028.7368;0.18;8
13089;2015-07-27;667;166;18141;0.18;12
17006;2015-07-27;17;115;18308.6794;0.18;5
12853;2015-07-27;495;144;17190.175;0.18;6
10358;2015-07-26;701;46;16640.1123;0.18;1
18996;2015-07-26;24;48;17018.6602;0.18;6
137;2015-07-26;617;7;17720.0447;0.18;6
5863;2015-07-26;561;166;18141;0.18;3
17580;2015-07-23;1089;66;18315.015;0.18;11
2280;2015-07-23;134;120;17585.6071;0.18;4
12911;2015-07-23;1072;1;16766.9526;0.18;10
19752;2015-07-23;291;29;17691.8129;0.18;1
1249;2015-07-05;480;65;17051.4158;0.18;8
17308;2015-07-05;9;122;16910.643;0.18;2
18488;2015-07-05;1096;148;16964.9592;0.18;12
15957;2015-07-05;874;66;18315.015;0.18;5
19906;2015-07-04;107;18;17472.3209;0.18;5
11041;2015-07-04;1054;167;18199.8904;0.18;2
2098;2015-07-04;103;178;17336.9475;0.18;3
7329;2015-07-04;741;58;17594.3922;0.18;4
3163;2015-05-25;1109;120;17585.6071;0.18;2
12804;2015-05-25;488;10;16247.0667;0.18;5
12816;2015-05-25;21;16;17717.8557;0.18;10
2739;2015-05-25;363;132;17145.7891;0.18;3
7930;2015-05-04;148;108;18215.7071;0.18;8
5209;2015-05-04;960;95;17671.2468;0.18;3
92;2015-05-04;474;47;17249.4684;0.18;2
3921;2015-05-04;880;131;16901.265;0.18;10
2217;2015-04-14;1011;13;17250.3325;0.18;10
12900;2015-04-14;164;122;16910.643;0.18;3
19353;2015-04-14;326;179;17459.2253;0.18;4
378;2015-04-14;1089;84;18439.7743;0.18;3
5475;2015-03-11;280;44;17856.9977;0.18;7
19229;2015-03-11;879;60;17267.65;0.18;5
12105;2015-03-11;599;64;17115.1125;0.18;5
19269;2015-03-11;539;100;18028.7368;0.18;5
19589;2015-03-03;904;78;17115.384;0.18;6
16856;2015-03-03;404;133;17412.1905;0.18;8
3707;2015-03-03;86;70;17297.2324;0.18;1
9985;2015-03-03;917;105;18157.1783;0.18;2
1226;2015-02-26;279;137;17781.9037;0.18;3
14532;2015-02-26;922;35;17928.1954;0.18;5
2400;2015-02-26;1001;41;17558.8369;0.18;5
9862;2015-02-01;701;44;17856.9977;0.18;2
13862;2015-02-01;928;129;17768.6268;0.18;6
14307;2015-02-01;594;43;18339.896;0.18;10
14380;2015-02-01;609;25;17496.8069;0.18;8
4340;2017-01-14;257;147;17281.0986;0.18;4
8325;2017-01-14;1154;173;17446.5585;0.18;12
5384;2017-01-14;670;95;17671.2468;0.18;8
14441;2017-01-14;599;139;17052.093;0.18;12
16625;2017-01-12;610;21;17975.7649;0.18;7
12279;2017-01-12;23;129;17768.6268;0.18;3
8853;2017-01-12;556;79;17682.6483;0.18;4
18412;2017-01-12;29;147;17281.0986;0.18;12
11611;2016-12-05;1162;56;17321.6625;0.18;2
10242;2016-12-05;565;119;17266.89;0.18;4
19265;2016-12-05;457;170;17394.4193;0.18;7
19797;2016-12-05;573;69;17785.2776;0.18;12
13700;2016-10-18;834;23;17002.5247;0.18;5
10614;2016-10-18;121;170;17394.4193;0.18;8
1703;2016-10-18;727;96;17142.037;0.18;7
19918;2016-09-12;859;49;17269.32;0.18;9
2391;2016-09-12;117;9;17021.548;0.18;11
16252;2016-09-12;526;133;17412.1905;0.18;1
3043;2016-09-12;1048;40;16916.2522;0.18;10
14095;2016-09-02;597;138;17348.4811;0.18;2
8532;2016-09-02;1155;13;17250.3325;0.18;9
3147;2016-09-02;710;116;17633.2773;0.18;12
13776;2016-09-02;592;169;17928.3266;0.18;3
320;2016-08-25;937;167;18199.8904;0.18;3
1305;2016-08-25;841;157;18057.8296;0.18;5
17905;2016-08-25;358;118;17936.6451;0.18;8
745;2016-08-25;852;69;17785.2776;0.18;7
16834;2016-07-30;1073;88;16966.7553;0.18;6
11723;2016-07-30;599;5;17132.9538;0.18;6
12679;2016-07-30;122;72;17714.4702;0.18;10
12171;2016-07-30;584;151;17111.3824;0.18;11
12708;2016-06-22;513;23;17002.5247;0.18;2
13192;2016-06-22;1034;53;16746.6324;0.18;8
17532;2016-06-22;507;167;18199.8904;0.18;4
19237;2016-06-22;469;149;17525.4202;0.18;9
10868;2016-05-16;1032;89;17104.9976;0.18;12
9507;2016-05-16;1177;24;17133.0786;0.18;12
16265;2016-05-16;571;76;17616.371;0.18;11
18030;2016-05-16;454;24;17133.0786;0.18;8
13025;2016-04-26;688;151;17111.3824;0.18;3
19120;2016-04-26;96;13;17250.3325;0.18;12
1719;2016-04-26;763;22;17918.5433;0.18;11
2987;2016-04-26;587;152;16594.1316;0.18;12
7323;2016-04-13;240;135;17744.5793;0.18;6
770;2016-04-13;118;124;17481.4583;0.18;11
13750;2016-04-13;201;140;17251.5879;0.18;6
18829;2016-04-13;958;142;17184.529;0.18;1
37;2016-03-22;804;101;17492.7954;0.18;7
2885;2016-03-22;690;87;17910.5681;0.18;3
18186;2016-03-22;476;18;17472.3209;0.18;1
3485;2016-03-22;733;171;16709.9392;0.18;12
13357;2016-03-01;565;132;17145.7891;0.18;9
6155;2016-03-01;654;138;17348.4811;0.18;2
15741;2016-03-01;900;156;17112.6217;0.18;2
16308;2016-03-01;213;33;17013.6929;0.18;11
12170;2016-02-14;221;85;17594.584;0.18;9
1442;2016-02-14;502;73;17036.0651;0.18;8
13665;2016-02-14;996;44;17856.9977;0.18;1
2405;2016-02-14;383;127;17831.8761;0.18;10
6263;2016-01-30;848;151;17111.3824;0.18;8
1083;2016-01-30;113;95;17671.2468;0.18;9
2924;2016-01-30;798;135;17744.5793;0.18;9
19222;2016-01-30;557;54;17780.12;0.18;12
9375;2016-01-20;301;83;17259;0.18;8
8971;2016-01-20;193;11;17262.6083;0.18;12
7079;2016-01-20;30;95;17671.2468;0.18;9
2713;2016-01-20;937;150;17594.2658;0.18;12
18631;2016-01-09;142;35;17928.1954;0.18;6
16909;2016-01-09;464;63;17379.3034;0.18;7
10870;2016-01-09;254;136;17564.6927;0.18;6
5137;2016-01-09;1104;79;17682.6483;0.18;9
4276;2016-01-05;496;120;17585.6071;0.18;8
3825;2016-01-05;1115;148;16964.9592;0.18;9
16681;2016-01-05;190;126;18020.4532;0.18;9
13789;2016-01-05;645;43;18339.896;0.18;11
7335;2015-12-09;438;122;16910.643;0.18;6
18892;2015-12-09;512;117;16779.5022;0.18;5
19071;2015-12-09;1153;8;18283.6954;0.18;5
2601;2015-12-09;509;147;17281.0986;0.18;1
13774;2015-10-16;372;96;17142.037;0.18;4
10747;2015-10-16;785;163;17730.2222;0.18;5
7266;2015-10-16;543;46;16640.1123;0.18;12
11496;2015-10-16;1131;23;17002.5247;0.18;3
2418;2015-10-08;660;144;17190.175;0.18;12
7795;2015-10-08;1119;45;17403.9439;0.18;2
17380;2015-10-08;657;117;16779.5022;0.18;7
13782;2015-10-08;235;113;17948.6684;0.18;12
19877;2015-09-15;78;126;18020.4532;0.18;11
19140;2015-09-15;1114;169;17928.3266;0.18;12
146;2015-09-15;126;95;17671.2468;0.18;1
10612;2015-09-15;221;111;17418.8217;0.18;2
2983;2015-09-11;1062;168;17486.2304;0.18;1
4285;2015-09-11;906;11;17262.6083;0.18;1
10573;2015-09-11;593;11;17262.6083;0.18;6
5346;2015-09-11;546;15;17195.1571;0.18;8
5718;2015-08-08;705;160;16786.0843;0.18;10
4840;2015-08-08;164;170;17394.4193;0.18;7
7800;2015-08-08;606;130;17890.893;0.18;12
4068;2015-08-08;949;58;17594.3922;0.18;1
2602;2015-08-03;789;98;17906.5446;0.18;8
5867;2015-08-03;231;24;17133.0786;0.18;2
6527;2015-08-03;6;48;17018.6602;0.18;12
10898;2015-08-03;998;5;17132.9538;0.18;5
4406;2015-05-30;60;1;16766.9526;0.18;2
8081;2015-05-30;148;17;18067.7118;0.18;4
17068;2015-05-30;866;54;17780.12;0.18;1
17953;2015-05-30;1158;11;17262.6083;0.18;9
9463;2015-05-28;157;36;17591;0.18;6
12210;2015-05-28;222;62;17052.0326;0.18;1
3936;2015-05-28;348;86;16950.05;0.18;8
742;2015-05-28;557;132;17145.7891;0.18;10
1973;2015-05-20;964;158;17344.6449;0.18;2
3722;2015-05-20;240;11;17262.6083;0.18;11
8211;2015-05-20;128;104;17345.1621;0.18;6
6011;2015-05-19;872;72;17714.4702;0.18;10
9014;2015-05-19;902;103;17950.1111;0.18;4
8267;2015-05-19;786;105;18157.1783;0.18;5
595;2015-05-19;873;156;17112.6217;0.18;3
17008;2015-04-03;574;40;16916.2522;0.18;1
15067;2015-04-03;988;85;17594.584;0.18;10
19044;2015-04-03;113;164;16713.9247;0.18;10
1934;2015-03-23;606;95;17671.2468;0.18;10
1074;2015-03-23;997;141;18733.9543;0.18;2
17679;2015-03-23;1161;177;16593.255;0.18;12
6781;2015-03-23;946;155;17907.6649;0.18;5
10388;2015-03-03;940;55;17777.94;0.18;8
16558;2015-03-03;429;83;17259;0.18;7
13690;2015-03-03;240;26;17178.5023;0.18;7
11678;2015-03-03;1081;30;17312.688;0.18;11
9749;2015-02-15;1029;100;18028.7368;0.18;6
2856;2015-02-15;1109;123;18127.1475;0.18;3
4272;2015-02-15;179;52;17750.2457;0.18;10
4296;2015-02-15;670;85;17594.584;0.18;3
16433;2015-01-20;1129;157;18057.8296;0.18;9
3359;2015-01-20;164;77;17265.6593;0.18;9
106;2015-01-20;602;146;17014.9952;0.18;1
4141;2017-01-26;878;70;17297.2324;0.18;3
8837;2017-01-26;553;64;17115.1125;0.18;6
14181;2017-01-26;379;6;17052.4917;0.18;11
9920;2017-01-26;112;151;17111.3824;0.18;1
17194;2017-01-07;625;147;17281.0986;0.18;2
15551;2017-01-07;474;124;17481.4583;0.18;3
4361;2017-01-07;606;54;17780.12;0.18;4
14668;2017-01-07;1092;40;16916.2522;0.18;3
19722;2016-12-28;34;124;17481.4583;0.18;7
16781;2016-12-28;1098;149;17525.4202;0.18;11
945;2016-12-28;328;56;17321.6625;0.18;3
336;2016-12-28;1141;163;17730.2222;0.18;3
16600;2016-12-13;1078;161;16580.2274;0.18;1
15398;2016-12-13;904;22;17918.5433;0.18;2
6112;2016-12-13;279;166;18141;0.18;9
6571;2016-12-13;1110;10;16247.0667;0.18;11
3785;2016-11-20;759;144;17190.175;0.18;7
2452;2016-11-20;178;85;17594.584;0.18;1
11711;2016-11-20;245;21;17975.7649;0.18;1
17262;2016-11-20;78;99;17414.9711;0.18;1
10302;2016-09-28;1149;177;16593.255;0.18;4
14466;2016-09-28;93;128;17474.2759;0.18;7
1415;2016-09-28;116;119;17266.89;0.18;6
2812;2016-09-28;767;178;17336.9475;0.18;2
1164;2016-09-14;1157;175;17766.5556;0.18;12
2093;2016-09-14;475;37;17577.5046;0.18;10
8133;2016-09-14;766;68;17204.4696;0.18;1
361;2016-09-14;372;93;16751.329;0.18;3
16536;2016-08-07;1052;96;17142.037;0.18;12
2771;2016-08-07;543;58;17594.3922;0.18;10
9827;2016-08-07;6;43;18339.896;0.18;8
18554;2016-08-07;531;64;17115.1125;0.18;11
14054;2016-07-23;456;25;17496.8069;0.18;7
4621;2016-07-23;550;60;17267.65;0.18;6
2365;2016-07-23;851;140;17251.5879;0.18;3
9576;2016-07-23;767;31;16480.0186;0.18;2
13830;2016-04-07;968;81;17382.9556;0.18;11
1464;2016-04-07;929;166;18141;0.18;3
1463;2016-04-07;167;99;17414.9711;0.18;11
12750;2016-04-06;89;122;16910.643;0.18;1
714;2016-04-06;984;160;16786.0843;0.18;7
3092;2016-04-06;665;122;16910.643;0.18;10
5545;2016-03-25;451;56;17321.6625;0.18;6
4147;2016-03-25;546;98;17906.5446;0.18;9
14030;2016-03-25;1141;128;17474.2759;0.18;5
6883;2016-03-25;392;28;17717.6137;0.18;10
16932;2016-02-13;224;53;16746.6324;0.18;4
18790;2016-02-13;1040;117;16779.5022;0.18;5
5203;2016-02-13;1072;132;17145.7891;0.18;9
19366;2016-01-31;704;60;17267.65;0.18;9
5;2016-01-31;739;82;17657.1417;0.18;10
4598;2016-01-31;542;166;18141;0.18;2
14443;2016-01-31;810;77;17265.6593;0.18;7
14145;2016-01-22;221;155;17907.6649;0.18;9
3573;2016-01-22;454;74;18009.6518;0.18;8
9050;2016-01-22;804;87;17910.5681;0.18;4
11635;2016-01-22;522;57;17677.2;0.18;2
15102;2016-01-20;3;163;17730.2222;0.18;5
10032;2016-01-20;557;133;17412.1905;0.18;7
10438;2016-01-20;1124;144;17190.175;0.18;6
4563;2016-01-20;389;130;17890.893;0.18;5
18149;2016-01-03;534;25;17496.8069;0.18;11
2308;2016-01-03;377;125;17255.4857;0.18;6
757;2016-01-03;1109;178;17336.9475;0.18;11
19652;2016-01-03;1135;73;17036.0651;0.18;12
16757;2015-12-04;82;144;17190.175;0.18;1
17158;2015-12-04;414;63;17379.3034;0.18;5
19581;2015-12-04;1152;169;17928.3266;0.18;1
7721;2015-12-04;58;152;16594.1316;0.18;7
18080;2015-11-01;170;42;17564.1448;0.18;5
11936;2015-11-01;368;44;17856.9977;0.18;6
15535;2015-11-01;835;51;17423.0083;0.18;6
15852;2015-11-01;1106;116;17633.2773;0.18;6
4948;2015-10-14;893;86;16950.05;0.18;2
1574;2015-10-14;945;62;17052.0326;0.18;9
1456;2015-10-14;813;128;17474.2759;0.18;8
16133;2015-10-14;992;71;17776.2143;0.18;1
16875;2015-10-13;815;96;17142.037;0.18;11
4738;2015-10-13;837;162;18489.8026;0.18;6
2331;2015-10-13;697;59;18055.7447;0.18;1
19580;2015-10-13;67;12;17374.121;0.18;7
18878;2015-09-10;38;64;17115.1125;0.18;10
19686;2015-09-10;780;103;17950.1111;0.18;6
911;2015-09-10;99;20;17542.8297;0.18;2
19830;2015-07-26;193;1;16766.9526;0.18;3
15776;2015-07-26;459;105;18157.1783;0.18;7
6390;2015-07-26;419;20;17542.8297;0.18;7
6280;2015-07-26;15;49;17269.32;0.18;10
13073;2015-07-12;940;133;17412.1905;0.18;12
8415;2015-07-12;500;77;17265.6593;0.18;7
637;2015-07-12;198;171;16709.9392;0.18;11
